연도,순위,팀명,경기수,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루실패,도루저지율
2015,1,넥센,144,110,24,3858,1540,138,0.980,10,111,52,31.9
2015,1,두산,144,93,7,3858,1498,134,0.983,6,109,48,30.6
2015,3,롯데,144,114,10,3844,1569,138,0.979,16,107,54,33.5
2015,4,SK,144,95,7,3842,1471,130,0.982,6,108,51,32.1
2015,5,LG,144,103,14,3839,1608,162,0.981,8,127,52,29.1
2015,5,한화,144,105,9,3839,1582,145,0.981,14,165,63,27.6
2015,7,NC,144,83,3,3838,1460,133,0.985,5,85,37,30.3
2015,8,삼성,144,96,9,3826,1304,104,0.982,8,80,49,38.0
2015,9,KIA,144,84,14,3819,1537,148,0.985,6,140,56,28.6
2015,10,KT,144,118,14,3800,1530,159,0.978,6,139,64,31.5
2016,1,한화,144,124,7,3878,1497,152,0.977,8,124,66,34.7
2016,2,두산,144,79,8,3863,1522,160,0.986,4,82,44,34.9
2016,2,LG,144,103,12,3863,1580,139,0.981,9,80,49,38.0
2016,4,NC,144,100,4,3859,1430,136,0.981,3,70,43,38.1
2016,5,삼성,144,90,12,3847,1410,140,0.983,8,115,58,33.5
2016,6,넥센,144,94,8,3841,1460,121,0.983,11,98,60,38.0
2016,7,KIA,144,111,10,3828,1441,139,0.979,4,136,49,26.5
2016,8,SK,144,123,7,3822,1691,149,0.978,4,106,64,37.6
2016,9,KT,144,130,5,3819,1550,151,0.976,11,115,55,32.4
2016,10,롯데,144,91,14,3799,1545,142,0.983,14,90,59,39.6
2017,1,KIA,144,98,4,3870,1498,153,0.982,12,69,45,39.5
2017,2,두산,144,90,9,3864,1468,138,0.983,5,64,36,36.0
2017,3,롯데,144,86,10,3862,1514,132,0.984,14,87,45,34.1
2017,4,NC,144,108,4,3854,1432,134,0.980,4,64,42,39.6
2017,5,삼성,144,95,6,3844,1454,152,0.982,14,64,35,35.4
2017,6,LG,144,103,12,3837,1434,127,0.981,9,62,37,37.4
2017,7,한화,144,91,4,3819,1500,151,0.983,11,78,42,35.0
2017,8,넥센,144,91,7,3813,1424,125,0.983,8,73,43,37.1
2017,9,SK,144,108,15,3812,1552,139,0.980,8,80,39,32.8
2017,10,KT,144,112,6,3768,1460,134,0.979,10,109,43,28.3
2018,1,두산,144,77,2,3866,1403,147,0.986,8,68,43,38.7
2018,2,삼성,144,79,5,3856,1337,133,0.985,7,100,38,27.5
2018,3,롯데,144,117,5,3851,1426,132,0.978,14,101,41,28.9
2018,4,넥센,144,106,16,3846,1506,147,0.981,7,70,39,35.8
2018,5,SK,144,116,6,3824,1434,133,0.978,6,95,39,29.1
2018,6,KT,144,99,9,3823,1502,161,0.982,21,99,42,29.8
2018,7,한화,144,99,10,3822,1397,141,0.981,11,83,41,33.1
2018,8,KIA,144,94,8,3812,1371,127,0.982,11,95,40,29.6
2018,9,LG,144,100,7,3806,1404,121,0.981,10,100,41,29.1
2018,10,NC,144,107,7,3792,1401,141,0.980,19,86,46,34.8
2019,1,SK,144,87,9,3877,1416,131,0.984,3,105,31,22.8
2019,2,NC,144,95,6,3853,1477,130,0.982,4,64,49,43.4
2019,3,두산,144,83,8,3851,1430,131,0.985,6,96,32,25.0
2019,4,LG,144,95,6,3850,1507,139,0.983,7,115,41,26.3
2019,5,키움,144,99,13,3837,1509,128,0.982,6,92,46,33.3
2019,6,KT,144,102,7,3831,1479,137,0.981,15,90,43,32.3
2019,7,삼성,144,105,4,3826,1370,132,0.980,9,90,38,29.7
2019,8,롯데,144,114,8,3813,1432,131,0.979,11,91,44,32.6
2019,9,한화,144,106,8,3806,1488,151,0.980,10,104,49,32.0
2019,10,KIA,144,110,5,3792,1381,126,0.979,9,116,50,30.1
2020,1,NC,144,87,9,3890,1294,120,0.983,10,49,42,46.2
2020,2,LG,144,80,6,3878,1460,156,0.985,9,89,36,28.8
2020,3,KT,144,102,4,3871,1486,154,0.981,10,75,21,21.9
2020,4,두산,144,85,10,3857,1282,126,0.984,6,91,25,21.6
2020,5,키움,144,112,15,3841,1544,143,0.980,8,87,39,31.0
2020,6,롯데,144,94,3,3832,1444,124,0.982,7,95,28,22.8
2020,7,삼성,144,102,9,3817,1310,126,0.980,6,57,38,40.0
2020,8,KIA,144,100,7,3810,1480,169,0.981,10,82,46,35.9
2020,9,한화,144,100,7,3795,1279,133,0.981,10,120,45,27.3
2020,10,SK,144,99,6,3778,1326,139,0.981,6,129,57,30.6
2021,1,SSG,144,102,14,3830,1409,123,0.981,12,105,46,30.5
2021,2,LG,144,91,4,3817,1481,147,0.983,12,98,40,29.0
2021,3,롯데,144,85,9,3813,1403,123,0.984,8,101,44,30.3
2021,4,두산,144,89,8,3808,1296,120,0.983,10,83,48,36.6
2021,5,KIA,144,110,9,3807,1368,139,0.979,10,92,43,31.9
2021,6,KT,144,112,7,3792,1466,133,0.979,7,93,31,25.0
2021,7,키움,144,129,14,3790,1532,152,0.976,5,85,35,29.2
2021,8,삼성,144,88,6,3777,1335,130,0.983,5,61,26,29.9
2021,9,한화,144,120,7,3776,1262,121,0.977,7,111,41,27.0
2021,10,NC,144,111,4,3770,1292,105,0.979,5,84,40,32.3
2022,1,SSG,144,109,9,3904,1455,138,0.980,4,107,31,22.5
2022,2,키움,144,118,3,3889,1549,134,0.979,7,85,42,33.1
2022,3,LG,144,89,6,3864,1394,139,0.983,7,113,26,18.7
2022,4,KT,144,97,13,3862,1425,132,0.982,8,69,26,27.4
2022,5,삼성,144,118,9,3861,1448,125,0.978,6,51,35,40.7
2022,6,NC,144,127,4,3860,1360,115,0.976,9,60,42,41.2
2022,7,롯데,144,114,3,3842,1403,124,0.979,11,99,39,28.3
